:GET :/ :200 :[object Object]
:GET :/ :200 :[object Object]
:GET :/abc/def/hjj :200 :[object Object]
:GET :/abc/def/hjj :200 :undefined
:GET :/ :200 :undefined
GET: /: 200: undefined ms
GET: /: 200: undefined ms:
GET: /: 200: 4 ms:
GET: /: 200: 2 ms:
GET: /: 200: 1 ms:
GET: /: 200: 0 ms:
GET: /: 200: 7 ms:
GET: /favicon.ico: 200: 3 ms:
POST: /users: 200: 12 ms:
POST: /users: 200: 6 ms:
POST: /users: 200: 3 ms:
POST: /users: 200: 98 ms:
POST: /users: 200: 36 ms:
POST: /users: 200: 10 ms:
GET: /users: 200: 47 ms:
GET: /users: 200: 42 ms:
GET: /users: 200: 34 ms:
POST: /notes: 200: 44 ms:
POST: /notes: 200: 45 ms:
GET: /notes: 200: 39 ms:
GET: /users: 200: 8 ms:
GET: /notes: 200: 40 ms:
GET: /notes: 200: 36 ms:
POST: /notes: 200: 30 ms:
GET: /users: 200: 8 ms:
GET: /notes: 200: 13 ms:
PUT: /notes/3: 200: 51 ms:
GET: /notes: 200: 35 ms:
PUT: /notes/3: 200: 13 ms:
PUT: /users/1: 200: 46 ms:
PUT: /users/1: 200: 9 ms:
PUT: /users/1: 200: 3 ms:
PUT: /users/1: 200: 37 ms:
PUT: /users/1: 200: 36 ms:
PUT: /users/1: 200: 42 ms:
PUT: /users/1: 200: 5 ms:
GET: /users: 200: 4 ms:
DELETE: /users/1: 200: 9 ms:
GET: /users: 200: 40 ms:
DELETE: /users/1: 200: 1 ms:
GET: /users: 200: 5 ms:
DELETE: /users/1: 200: 1 ms:
DELETE: /users/1: 200: 9 ms:
GET: /users: 200: 31 ms:
DELETE: /users/1: 200: 7 ms:
GET: /users: 200: 26 ms:
DELETE: /users/1: 200: 9 ms:
GET: /users: 200: 31 ms:
GET: /users: 200: 2 ms:
GET: /users: 200: 37 ms:
POST: /users: 200: 110 ms:
POST: /users: 200: 13 ms:
GET: /users: 200: 5 ms:
POST: /notes: 200: 14 ms:
POST: /notes: 200: 12 ms:
POST: /notes: 200: 8 ms:
POST: /notes: 200: 9 ms:
GET: /notes: 200: 4 ms:
DELETE: /users/1: 200: 11 ms:
GET: /notes: 200: 3 ms:
POST: /users: 200: 86 ms:
POST: /users: 200: 48 ms:
POST: /users: 200: 73 ms:
POST: /users: 200: 35 ms:
POST: /users: 200: 46 ms:
GET: /notes: 200: 48 ms:
GET: /users: 200: 106 ms:
POST: /auth/login: 200: 14 ms:
POST: /auth/login: 200: 3 ms:
POST: /auth/login: 200: 10 ms:
POST: /auth/login: 200: 3 ms:
